,name,gender,age,episode,episode_date,upload_date,subscriber_count,likes,comments,term,job,topic,rating
179,세나,W,청년,69.0,20200826.0,20200826.0,80000,86.0,14.0,1262.0,기타,이거 누가 만들었지?,3.867
180,이규형,M,청년,70.0,20200902.0,20200902.0,100000,163.0,21.0,1255.0,기타,세대 특집,2.906
181,이현주,W,청년,70.0,20200902.0,20200902.0,100000,779.0,104.0,1255.0,기타,세대 특집,2.906
182,오진우,M,청년,70.0,20200902.0,20200902.0,100000,779.0,104.0,1255.0,기타,세대 특집,2.906
183,조재동,M,중년,70.0,20200902.0,20200902.0,100000,289.0,17.0,1255.0,서비스,세대 특집,2.906
184,이민희,W,중년,70.0,20200902.0,20200902.0,100000,83.0,8.0,1255.0,서비스,세대 특집,2.906
185,김춘식,M,중년,70.0,20200902.0,20200902.0,100000,90.0,14.0,1255.0,서비스,세대 특집,2.906
186,남숙현,W,청년,70.0,20200902.0,20200902.0,100000,163.0,21.0,1255.0,산업,세대 특집,2.906
187,고대영,M,청년,71.0,20200909.0,20200908.0,120000,9879.0,911.0,1249.0,기타,문과 vs 이과 특집,3.398
188,현순심,W,중년,71.0,20200909.0,20200908.0,120000,50.0,31.0,1249.0,서비스,문과 vs 이과 특집,3.398
189,고병선,W,중년,71.0,20200909.0,20200908.0,120000,284.0,16.0,1249.0,서비스,문과 vs 이과 특집,3.398
190,김지희,W,중년,71.0,20200909.0,20200908.0,120000,230.0,13.0,1249.0,서비스,문과 vs 이과 특집,3.398
191,정만택,M,중년,71.0,20200909.0,20200908.0,120000,8201.0,681.0,1249.0,서비스,문과 vs 이과 특집,3.398
192,김동일,M,청년,71.0,20200909.0,20200908.0,120000,230.0,13.0,1249.0,기타,문과 vs 이과 특집,3.398
193,이태석,M,중년,71.0,20200909.0,20200908.0,120000,9879.0,911.0,1249.0,서비스,문과 vs 이과 특집,3.398
194,현정호,M,어린이,72.0,20200916.0,20200916.0,140000,3106.0,222.0,1241.0,기타,미생 특집,3.689
195,윤석영,M,어린이,72.0,20200916.0,20200916.0,140000,3106.0,222.0,1241.0,기타,미생 특집,3.689
