,제목,설명,출연자_정보,조회수,좋아요수,댓글수,재생시간(초),년도,회차,출연자,업로드일,구독자수,term
37,조셉과의 착즙 멜로? 자기님도 모르게 온몸 거부ㅋㅋ | ,"＜유 퀴즈 온 더 블럭＞ 매주 화요일 밤 11시 tvN

#유퀴즈온더블럭 #유퀴즈 #유퀴즈_부암동
------------------------------------------------------------------
 ▶[유 퀴즈 온 더 블럭] 최신 클립 다시보기 : http://www.tving.com/smr/vod/player/P/C01_B120180515?from=youtube
------------------------------------------------------------------","['유퀴즈온더블럭', '유퀴즈', '유재석', '조세호', '예능', '퀴즈', '부암동']",84,1,0,178,2019,43,남숙현,2020-07-29,0,1290
38,유퀴즈 코너 속 코너! ＜조씨의 이름을 지어라＞,"＜유 퀴즈 온 더 블럭＞ 매주 화요일 밤 11시 tvN

#유퀴즈온더블럭 #유퀴즈 #유퀴즈_부암동
------------------------------------------------------------------
 ▶[유 퀴즈 온 더 블럭] 최신 클립 다시보기 : http://www.tving.com/smr/vod/player/P/C01_B120180515?from=youtube
------------------------------------------------------------------","['유퀴즈온더블럭', '유퀴즈', '유재석', '조세호', '예능', '퀴즈', '부암동']",70,2,0,212,2019,43,김기숙,2020-07-29,0,1290
39,유퀴즈 코너 속 코너! ＜조씨의 이름을 지어라＞,"＜유 퀴즈 온 더 블럭＞ 매주 화요일 밤 11시 tvN

#유퀴즈온더블럭 #유퀴즈 #유퀴즈_부암동
------------------------------------------------------------------
 ▶[유 퀴즈 온 더 블럭] 최신 클립 다시보기 : http://www.tving.com/smr/vod/player/P/C01_B120180515?from=youtube
------------------------------------------------------------------","['유퀴즈온더블럭', '유퀴즈', '유재석', '조세호', '예능', '퀴즈', '부암동']",70,2,0,212,2019,43,임재윤,2020-07-29,0,1290
40,음식의 유래를 알아야 하는 조셉? 그냥 먹어!!! | ,"＜유 퀴즈 온 더 블럭＞ 매주 화요일 밤 11시 tvN

#유퀴즈온더블럭 #유퀴즈 #유퀴즈_부암동
------------------------------------------------------------------
 ▶[유 퀴즈 온 더 블럭] 최신 클립 다시보기 : http://www.tving.com/smr/vod/player/P/C01_B120180515?from=youtube
------------------------------------------------------------------","['유퀴즈온더블럭', '유퀴즈', '유재석', '조세호', '예능', '퀴즈', '부암동']",70,1,0,196,2019,43,먹방,2020-07-29,0,1290
41,자기님의 꿈이 되어준 아버지 그리고 행복한 기억 | ,"＜유 퀴즈 온 더 블럭＞ 매주 화요일 밤 11시 tvN

#유퀴즈온더블럭 #유퀴즈 #유퀴즈_부암동
------------------------------------------------------------------
 ▶[유 퀴즈 온 더 블럭] 최신 클립 다시보기 : http://www.tving.com/smr/vod/player/P/C01_B120180515?from=youtube
------------------------------------------------------------------","['유퀴즈온더블럭', '유퀴즈', '유재석', '조세호', '예능', '퀴즈', '부암동']",50,0,0,180,2019,43,이규형,2020-07-29,0,1290
53,수능 18시간 전! 이 시점에서(?) 고3의 아찔한 고백...☆ | ,"＜유 퀴즈 온 더 블럭＞ 매주 화요일 밤 11시 tvN

#유퀴즈온더블럭 #유퀴즈 #유퀴즈_고덕동 

------------------------------------------------------------------
 ▶[유 퀴즈 온 더 블럭] 최신 클립 다시보기 : http://www.tving.com/smr/vod/player/P/C01_B120180515?from=youtube
------------------------------------------------------------------","['유퀴즈온더블럭', '유퀴즈', '유재석', '조세호', '큰자기', '아기자기', '예능', '퀴즈', '고덕동']",297,1,0,222,2019,45,김범준,2020-07-29,0,1290
54,[#유퀴즈] 45화 레전드! 불황을 잊게 만드는(?) '낙지 코다리찜'&'황태 곰탕' 먹방,"＜유 퀴즈 온 더 블럭＞ 매주 화요일 밤 11시 tvN

#유퀴즈온더블럭 #유퀴즈 #유퀴즈_고덕동 

------------------------------------------------------------------
 ▶[유 퀴즈 온 더 블럭] 최신 클립 다시보기 : http://www.tving.com/smr/vod/player/P/C01_B120180515?from=youtube
------------------------------------------------------------------","['유퀴즈온더블럭', '유퀴즈', '유재석', '조세호', '큰자기', '아기자기', '예능', '퀴즈', '고덕동']",251,7,0,176,2019,45,먹방,2020-07-29,0,1290
55,고덕동 삼 남매.. 아니 조셉까지 사 남매!? | ,"＜유 퀴즈 온 더 블럭＞ 매주 화요일 밤 11시 tvN

#유퀴즈온더블럭 #유퀴즈 #유퀴즈_고덕동
------------------------------------------------------------------
 ▶[유 퀴즈 온 더 블럭] 최신 클립 다시보기 : http://www.tving.com/smr/vod/player/P/C01_B120180515?from=youtube
------------------------------------------------------------------","['유퀴즈온더블럭', '유퀴즈', '유재석', '조세호', '큰자기', '아기자기', '예능', '퀴즈', '고덕동']",207,2,0,239,2019,45,최연애,2020-07-29,0,1290
56,고덕동 삼 남매.. 아니 조셉까지 사 남매!? | ,"＜유 퀴즈 온 더 블럭＞ 매주 화요일 밤 11시 tvN

#유퀴즈온더블럭 #유퀴즈 #유퀴즈_고덕동
------------------------------------------------------------------
 ▶[유 퀴즈 온 더 블럭] 최신 클립 다시보기 : http://www.tving.com/smr/vod/player/P/C01_B120180515?from=youtube
------------------------------------------------------------------","['유퀴즈온더블럭', '유퀴즈', '유재석', '조세호', '큰자기', '아기자기', '예능', '퀴즈', '고덕동']",207,2,0,239,2019,45,고대영,2020-07-29,0,1290
57,고덕동 삼 남매.. 아니 조셉까지 사 남매!? | ,"＜유 퀴즈 온 더 블럭＞ 매주 화요일 밤 11시 tvN

#유퀴즈온더블럭 #유퀴즈 #유퀴즈_고덕동
------------------------------------------------------------------
 ▶[유 퀴즈 온 더 블럭] 최신 클립 다시보기 : http://www.tving.com/smr/vod/player/P/C01_B120180515?from=youtube
------------------------------------------------------------------","['유퀴즈온더블럭', '유퀴즈', '유재석', '조세호', '큰자기', '아기자기', '예능', '퀴즈', '고덕동']",207,2,0,239,2019,45,고석교,2020-07-29,0,1290
58,비 오는 날 매콤 달달 코다리찜에 취한 자기들! (feat. 마리) | ,"＜유 퀴즈 온 더 블럭＞ 매주 화요일 밤 11시 tvN

#유퀴즈온더블럭 #유퀴즈 #유퀴즈_고덕동
------------------------------------------------------------------
 ▶[유 퀴즈 온 더 블럭] 최신 클립 다시보기 : http://www.tving.com/smr/vod/player/P/C01_B120180515?from=youtube
------------------------------------------------------------------","['유퀴즈온더블럭', '유퀴즈', '유재석', '조세호', '큰자기', '아기자기', '예능', '퀴즈', '고덕동']",186,1,0,333,2019,45,먹방,2020-07-29,0,1290
