,rank,name,birth,team,year,gp,cg,sho,gs,win,loss,save,hold,inning,runs,earned_run,batter_faced,hits,base2,base3,home_run,walk,intentional_walk,hb,so,balk,wild,ERA,FIP,WHIP,ERAplus,FIPplus,WAR,WPA
224,225.0,장현식,1995-02-24,NC Dinos,2016,37.0,0.0,0.0,5.0,1.0,3.0,0.0,1.0,76.1,40.0,38.0,331.0,68.0,13.0,2.0,5.0,43.0,0.0,2.0,59.0,0.0,13.0,4.48,4.87,1.45,113.6,106.1,1.84,-0.3
225,226.0,최영필,1974-05-13,Kia Tigers,2015,59.0,0.0,0.0,0.0,5.0,2.0,0.0,10.0,63.0,23.0,20.0,247.0,57.0,8.0,0.0,8.0,8.0,0.0,2.0,51.0,0.0,1.0,2.86,4.12,1.03,172.6,120.1,1.84,-0.02
226,227.0,전상현,1996-04-18,Kia Tigers,2019,57.0,0.0,0.0,0.0,1.0,4.0,0.0,15.0,60.2,21.0,21.0,245.0,45.0,8.0,1.0,3.0,21.0,2.0,2.0,62.0,0.0,2.0,3.12,3.04,1.09,134.6,138.6,1.83,0.47
227,228.0,최금강,1989-04-26,NC Dinos,2015,78.0,0.0,0.0,0.0,6.0,5.0,1.0,14.0,89.2,40.0,37.0,384.0,77.0,12.0,1.0,11.0,37.0,2.0,11.0,61.0,0.0,12.0,3.71,5.39,1.27,129.0,90.6,1.81,-1.05
228,229.0,고영표,1991-09-16,Kia Tigers,2018,25.0,3.0,1.0,23.0,6.0,9.0,0.0,0.0,142.0,91.0,81.0,620.0,175.0,27.0,4.0,17.0,25.0,1.0,14.0,134.0,1.0,2.0,5.13,4.31,1.41,103.2,120.6,1.8,-2.0
229,230.0,조현우,1994-03-30,Kia Tigers,2020,54.0,0.0,0.0,0.0,5.0,1.0,1.0,9.0,46.2,16.0,16.0,196.0,38.0,8.0,1.0,1.0,22.0,1.0,1.0,33.0,0.0,3.0,3.09,3.83,1.29,155.7,124.7,1.79,1.06
230,231.0,이민호,2001-08-30,LG Twins,2020,20.0,0.0,0.0,16.0,4.0,4.0,0.0,0.0,97.2,46.0,40.0,434.0,94.0,19.0,0.0,5.0,44.0,1.0,10.0,67.0,1.0,4.0,3.69,4.48,1.41,125.6,104.4,1.79,0.54
231,232.0,윤지웅,1988-03-11,LG Twins,2015,78.0,0.0,0.0,0.0,3.0,1.0,0.0,12.0,62.0,26.0,26.0,245.0,47.0,6.0,1.0,3.0,17.0,0.0,1.0,54.0,0.0,4.0,3.77,3.37,1.03,124.3,141.5,1.78,1.04
232,233.0,이현호,1992-07-14,Doosan Bears,2015,49.0,0.0,0.0,7.0,6.0,1.0,0.0,2.0,86.0,43.0,40.0,377.0,83.0,6.0,2.0,8.0,35.0,0.0,4.0,87.0,0.0,17.0,4.19,4.16,1.37,112.0,112.5,1.77,-0.18
233,234.0,양현,1992-08-23,Kiwoom Heroes,2020,58.0,0.0,0.0,1.0,8.0,3.0,2.0,11.0,60.0,23.0,22.0,245.0,58.0,9.0,1.0,4.0,17.0,0.0,3.0,33.0,0.0,1.0,3.3,4.32,1.25,143.0,108.3,1.77,-0.17
